,CHECKINGSTATUS,LOANDURATION,CREDITHISTORY,LOANPURPOSE,LOANAMOUNT,EXISTINGSAVINGS,EMPLOYMENTDURATION,INSTALLMENTPERCENT,SEX,OTHERSONLOAN,CURRENTRESIDENCEDURATION,OWNSPROPERTY,AGE,INSTALLMENTPLANS,HOUSING,EXISTINGCREDITSCOUNT,JOB,DEPENDENTS,TELEPHONE,FOREIGNWORKER,RISK
0,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,29,bank,own,1,unemployed,1,none,yes,No Risk
1,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
2,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,savings_insurance,21,stores,rent,1,skilled,1,none,yes,No Risk
3,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
4,0_to_200,4,all_credits_paid_back,car_new,1704,less_100,1_to_4,3,female,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk
5,0_to_200,4,all_credits_paid_back,car_new,2265,less_100,less_1,2,male,none,2,savings_insurance,27,none,rent,1,skilled,1,none,yes,No Risk
6,0_to_200,4,all_credits_paid_back,car_used,250,less_100,unemployed,2,female,none,3,real_estate,35,none,own,1,skilled,1,yes,yes,No Risk
7,0_to_200,4,all_credits_paid_back,education,936,less_100,less_1,2,male,none,2,savings_insurance,41,bank,rent,1,unskilled,1,none,yes,No Risk
8,0_to_200,4,all_credits_paid_back,furniture,250,less_100,1_to_4,2,female,none,1,real_estate,19,bank,rent,1,unskilled,1,none,yes,No Risk
9,0_to_200,4,all_credits_paid_back,furniture,4231,less_100,1_to_4,2,female,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
10,0_to_200,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
11,0_to_200,4,credits_paid_to_date,car_new,250,less_100,4_to_7,1,male,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
12,0_to_200,4,credits_paid_to_date,car_new,3185,less_100,4_to_7,2,male,none,2,car_other,45,none,own,1,skilled,1,yes,yes,No Risk
13,0_to_200,4,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,3,male,none,2,savings_insurance,23,none,own,1,management_self-employed,1,none,yes,No Risk
14,0_to_200,4,credits_paid_to_date,car_used,250,less_100,less_1,2,female,none,1,savings_insurance,30,none,own,1,skilled,1,none,yes,No Risk
15,0_to_200,4,credits_paid_to_date,car_used,389,less_100,less_1,2,female,co-applicant,2,real_estate,40,none,own,1,skilled,1,yes,no,Risk
16,0_to_200,4,credits_paid_to_date,car_used,1052,500_to_1000,1_to_4,3,male,co-applicant,3,savings_insurance,42,none,free,1,skilled,1,yes,yes,No Risk
17,0_to_200,4,credits_paid_to_date,education,250,less_100,less_1,2,female,none,3,real_estate,28,stores,rent,1,unskilled,2,none,yes,No Risk
18,0_to_200,4,no_credits,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,21,stores,rent,1,skilled,1,none,yes,No Risk
19,0_to_200,4,no_credits,car_new,388,less_100,unemployed,2,female,none,3,real_estate,23,stores,rent,1,unskilled,1,none,yes,No Risk
20,0_to_200,4,prior_payments_delayed,appliances,2280,less_100,1_to_4,2,female,none,1,car_other,33,none,own,1,skilled,1,none,yes,Risk
21,0_to_200,4,prior_payments_delayed,car_new,250,less_100,4_to_7,3,male,none,2,savings_insurance,29,none,own,1,skilled,1,yes,yes,No Risk
22,0_to_200,4,prior_payments_delayed,car_new,250,less_100,less_1,2,female,none,2,real_estate,24,none,own,1,skilled,1,none,yes,No Risk
23,0_to_200,4,prior_payments_delayed,car_new,1233,100_to_500,less_1,2,female,none,3,car_other,26,none,rent,1,skilled,1,none,yes,No Risk
24,0_to_200,4,prior_payments_delayed,car_used,3365,less_100,1_to_4,2,male,co-applicant,3,savings_insurance,43,none,own,1,skilled,1,none,no,No Risk
25,0_to_200,4,prior_payments_delayed,furniture,2571,500_to_1000,4_to_7,3,female,none,2,car_other,38,none,own,2,skilled,1,none,yes,No Risk
26,0_to_200,5,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,female,none,1,real_estate,31,stores,rent,1,skilled,1,none,yes,No Risk
